bjd,ccf_rv,ccf_rv_sig,lbl_rv,lbl_rv_sig
2459006.047578,-6.3,18.7,2.6,6.4
2459006.058353,0.9,19.0,3.8,6.4
2459006.069133,6.0,18.6,0.1,6.3
2459006.079901,2.2,18.5,2.1,6.2
2459011.055684,-15.1,19.3,-6.2,6.9
2459011.066528,-3.6,18.9,-1.1,6.8
2459011.077292,-18.5,17.5,-7.5,6.8
2459011.088067,-13.3,16.9,-9.6,6.7
2459058.086711,34.0,19.3,18.9,6.7
2459058.097483,18.4,8.9,9.7,6.8
2459058.108256,8.8,9.1,8.3,6.7
2459058.119030,20.7,19.1,-3.8,6.7
2459058.973896,7.8,6.0,3.8,5.9
2459058.984605,0.2,6.1,6.1,5.8
2459058.995313,-0.5,5.9,1.3,5.9
2459059.006021,-1.4,7.5,-3.4,5.9
2459071.942673,-3.1,6.3,-7.6,6.3
2459071.953381,-9.5,6.9,-11.6,6.1
2459071.964091,-7.1,5.4,-6.6,6.1
2459071.974799,0.8,6.6,-3.0,6.0
2459072.974483,-8.8,6.3,-9.0,6.1
2459072.985191,-0.1,5.9,-2.4,6.1
2459072.995964,-3.5,5.2,-4.5,6.1
2459073.006672,6.8,5.6,-0.6,6.2
2459087.884529,1.3,7.6,-,-
2459087.895238,12.2,6.9,-,-
2459087.909300,2.5,7.8,-,-
2459087.920331,-7.6,7.7,-,-
2459088.877370,-5.4,7.0,-2.0,6.3
2459088.888143,8.4,6.9,4.8,6.1
2459088.898851,-1.1,6.8,2.5,6.1
2459088.909560,-0.4,8.9,-5.6,5.8
2459091.873371,1.5,5.8,-2.2,5.9
2459091.884080,6.9,5.6,8.1,5.8
2459091.894788,4.5,4.1,1.7,5.8
2459091.905497,2.9,5.4,-2.8,5.8
2459095.971094,3.1,5.7,1.8,5.9
2459095.981867,-4.1,4.3,-0.0,5.7
2459095.992640,0.9,6.7,-1.5,6.0
2459096.003412,-1.0,5.4,0.2,5.9
2459096.945095,-2.6,7.9,-7.1,6.3
2459096.955868,0.5,8.4,1.6,6.3
2459096.966576,-1.2,8.8,-6.1,6.3
2459096.977284,0.1,7.8,-2.1,6.3
2459098.882192,6.9,5.6,-5.9,6.1
2459098.892901,11.1,7.8,1.8,6.1
2459098.903674,9.4,6.1,-0.9,5.9
2459098.914382,6.6,4.5,4.5,5.8
2459101.862503,19.9,5.6,12.9,6.0
2459101.873276,11.2,4.6,-1.5,6.0
2459101.884049,9.0,4.9,6.5,5.9
2459101.894757,3.0,5.6,0.2,6.1
2459102.871592,9.6,7.2,2.6,6.0
2459102.882301,-7.3,5.7,-1.5,6.2
2459102.893074,12.5,7.2,-1.5,6.0
2459102.903846,11.7,6.3,2.7,6.0
2459111.815780,17.9,10.8,-,-
2459111.826488,2.2,11.6,-,-
2459111.837262,15.6,10.1,-,-
2459111.847968,42.7,23.0,-,-
2459112.803121,5.8,6.6,8.3,6.1
2459112.813894,10.4,6.3,4.1,6.0
2459112.824666,-7.0,5.6,-1.6,6.0
2459112.835377,9.3,7.1,2.2,5.9
2459117.848721,-3.5,7.9,-2.6,5.8
2459117.859493,-4.8,7.1,-3.5,5.8
2459117.870265,-5.9,7.6,-0.1,5.8
2459117.880974,-13.4,7.6,-4.8,5.8
2459122.779804,5.6,6.1,8.4,6.3
2459122.790576,-4.3,8.6,2.4,6.2
2459122.801349,14.0,13.5,3.4,6.2
2459122.808283,6.7,11.2,-,-
2459122.816379,-3.9,6.1,2.3,6.2
2459123.865126,3.8,7.4,0.7,5.9
2459123.875899,-10.4,7.1,1.6,6.0
2459123.886672,-2.5,6.4,2.5,6.0
2459123.897379,-17.7,7.0,-8.3,5.9
2459128.903400,-17.8,9.5,2.1,6.6
2459128.914108,-4.3,8.6,9.6,6.3
2459128.924816,-8.1,8.2,6.8,6.2
2459128.935525,-4.6,14.5,1.7,6.2
2459154.767808,1.7,9.8,7.8,5.7
2459154.778581,0.7,9.6,4.7,5.7
2459154.789288,-1.8,9.6,2.2,5.7
2459154.799996,-5.4,11.7,7.7,5.7
2459157.815865,7.6,10.9,13.2,6.0
2459157.826638,10.4,14.3,6.3,6.2
2459157.837410,-2.5,15.8,-2.0,6.7
2459157.848118,3.2,15.0,0.7,6.4
2459207.696740,1.0,8.9,4.4,6.4
2459207.707512,-9.1,10.7,4.1,6.4
2459207.718288,-5.5,10.5,4.2,6.4
2459207.728992,15.5,23.5,3.5,6.2
2459212.691250,20.0,9.0,3.4,6.3
2459212.702022,8.6,10.4,6.2,6.3
2459212.712794,0.5,8.1,9.7,6.3
2459212.723502,17.2,21.6,6.5,6.5
2459217.699560,-8.6,7.6,-5.5,6.0
2459217.710396,1.8,9.4,-6.4,6.0
2459217.721168,-2.5,8.9,-5.6,5.9
2459217.731876,-7.3,7.0,-6.7,5.9
2459384.985854, -20.9, 8.7, -, -
2459384.996561, -14.0, 8.3, -, -
2459385.007269, -16.6, 11.8, -, -
2459385.975993, -8.9, 7.3, -0.2, 6.0
2459385.986702, -12.6, 7.5, -3.9, 5.9
2459385.997411, -9.2, 6.2, 0.6, 5.9
2459386.008120, -10.5, 6.6, -5.8, 5.9
2459386.967298, -1.2, 7.3, -4.8, 5.9
2459386.978069, -6.5, 6.9, -7.1, 6.0
2459386.988843, -0.0, 8.9, -2.3, 6.3
2459386.999615, -5.0, 6.6, -8.7, 6.0
2459388.965321, 4.5, 6.7, -1.2, 6.2
2459388.976029, 10.8, 8.6, 2.7, 6.1
2459388.986738, 15.7, 18.9, -1.1, 6.1
2459388.997446, 11.3, 17.3, -1.4, 6.2
2459389.953915, 2.6, 7.3, -1.5, 6.2
2459389.964623, -11.1, 7.0, -8.4, 6.0
2459389.975331, 4.4, 7.3, 5.8, 6.0
2459389.986039, 1.3, 6.2, -5.3, 6.4
2459390.968894, -1.3, 6.3, -4.7, 6.3
2459390.979601, 10.4, 5.8, -3.6, 6.3
2459390.990377, -13.2, 5.7, -5.3, 6.2
2459391.001083, 8.2, 5.2, 0.5, 6.3
2459391.964841, -1.3, 4.4, -0.9, 6.2
2459391.975550, -7.2, 5.2, -3.5, 6.1
2459391.986258, 5.6, 5.3, -0.1, 6.1
2459391.996970, -8.6, 5.0, -7.0, 6.1
2459392.950018, 13.8, 17.3, -1.2, 6.6
2459392.960726, -10.0, 6.6, -1.4, 6.3
2459392.971435, -6.5, 7.5, -0.5, 6.3
2459392.982143, 2.2, 6.9, -0.6, 6.1
2459394.036796, 8.5, 14.1, 5.8, 6.3
2459394.047502, 7.1, 14.5, 1.0, 6.2
2459394.058275, 3.0, 15.2, 3.6, 6.1
2459394.068984, -1.4, 14.1, -0.6, 6.3
2459395.054740, 9.0, 6.3, 6.1, 5.7
2459395.065513, 3.9, 4.1, 2.1, 5.8
2459395.076222, 9.1, 6.0, 3.6, 5.8
2459395.086931, 4.4, 5.5, 0.3, 5.6
2459397.054380, -0.6, 6.2, 8.3, 6.1
2459397.065089, 0.0, 5.0, 3.5, 6.2
2459397.075796, 4.6, 5.6, 8.3, 6.3
2459397.086505, -0.7, 5.4, -2.6, 6.2
2459398.038204, 15.0, 5.8, 11.0, 6.9
2459398.048910, -0.8, 6.3, 5.8, 7.2
2459398.059683, 5.4, 4.9, 2.5, 6.8
2459398.070391, -4.6, 6.3, 2.1, 6.7
2459413.005251, -6.6, 6.4, -8.3, 5.6
2459413.015960, -13.2, 4.6, -12.1, 5.6
2459413.026733, 2.8, 5.7, -8.2, 5.7
2459413.037441, -3.3, 6.3, -4.9, 5.8
2459414.002104, -2.0, 5.3, 3.7, 5.8
2459414.012813, -6.1, 6.2, 4.0, 5.8
2459414.023586, -10.1, 6.2, 2.7, 6.0
2459414.034294, -0.9, 4.5, 0.3, 5.9
2459414.905548, -10.9, 7.7, -12.7, 6.7
2459414.916257, -8.8, 7.7, -11.5, 6.3
2459414.926965, -13.3, 8.0, -15.1, 7.0
2459414.937673, -2.1, 16.9, -18.1, 7.3
2459415.983295, -2.5, 8.2, -2.8, 6.2
2459415.994003, 12.8, 17.3, -1.4, 6.1
2459416.004711, 1.0, 18.3, -10.7, 6.1
2459416.015420, -2.6, 8.6, -7.3, 6.1
2459420.977489, 5.5, 7.0, 1.7, 7.0
2459420.988198, -2.2, 7.3, -6.3, 7.7
2459420.998906, 6.1, 7.4, 7.2, 7.6
2459421.009615, -4.1, 7.2, -3.3, 7.3
2459423.027380, 12.8, 7.8, 4.0, 6.9
2459423.038152, 6.6, 4.8, -0.3, 6.0
2459423.048926, 5.0, 5.4, 1.3, 5.8
2459423.059633, 11.3, 5.7, 8.0, 5.7
2459439.802032, 9.8, 7.1, 6.3, 5.9
2459439.812741, -6.3, 7.5, -4.1, 5.9
2459439.823448, 1.7, 6.2, -1.7, 5.8
2459439.834157, 8.4, 5.7, -0.8, 5.8
2459440.828101, 10.4, 6.7, 5.3, 6.2
2459440.838810, 8.1, 5.2, 1.1, 6.1
2459440.849517, 9.8, 5.9, 4.7, 6.1
2459440.860226, 12.8, 5.6, 2.8, 6.0
2459441.807078, 1.2, 6.9, 0.0, 6.1
2459441.817787, 2.5, 6.0, 0.4, 6.0
2459441.828494, 3.5, 5.0, 4.2, 6.0
2459441.839203, 4.6, 6.8, 3.4, 6.0
2459443.842764, 2.5, 5.8, 0.7, 5.8
2459443.853537, 6.7, 5.7, 4.2, 5.8
2459443.864246, -0.1, 6.0, 0.3, 5.7
2459443.874954, 7.1, 6.5, 0.2, 5.6
2459444.965794, -1.6, 7.3, 0.5, 5.9
2459444.976560, 1.1, 7.7, 1.4, 5.8
2459444.987268, -2.6, 7.9, 0.9, 5.9
2459444.997977, -6.8, 6.8, -0.7, 5.9
2459446.858585, -4.6, 7.8, -7.9, 7.1
2459446.869358, -3.2, 6.8, -3.9, 7.6
2459446.880131, -7.1, 8.0, 1.2, 8.6
2459446.890842, -26.7, 9.2, -8.2, 8.5
2459447.899294, -0.4, 6.8, -3.2, 5.7
2459447.910002, -3.6, 5.7, -1.7, 5.6
2459447.920780, -6.2, 5.9, -11.4, 5.7
2459447.931483, -8.8, 5.9, -4.0, 5.8
2459448.885043, 2.8, 22.8, 3.7, 6.5
2459448.895751, 9.3, 22.7, -0.4, 6.1
2459448.906523, 10.1, 8.0, -0.8, 5.8
2459448.917232, -1.1, 7.4, 0.7, 5.6
2459449.871499, -23.4, 6.5, -10.8, 5.7
2459449.882208, -3.6, 5.9, -2.3, 5.7
2459449.892980, -6.4, 6.1, -5.6, 5.8
2459449.903689, -9.7, 10.0, -9.4, 5.6
2459451.841702, -5.0, 4.7, 1.0, 5.8
2459451.852410, 2.6, 5.1, 0.7, 5.9
2459451.863183, -8.0, 6.0, -9.4, 5.8
2459451.873892, -6.5, 6.6, 2.0, 5.8
2459452.834222, -9.7, 5.1, -4.7, 5.7
2459452.844930, -19.1, 6.2, -11.6, 5.8
2459452.855703, -11.1, 5.6, -9.8, 5.4
2459452.866414, -10.8, 5.9, -7.9, 5.6
